ID,1-MU-LA (x3 Con),3-MU-LA (x3 Con),4-MU-LA,6-MU-LA,8-MU-LA (x3 Con),9-MU-LA,12-MU-LA,14-MU-LA,15-MU-LA,18-MU-LA,31-MU-HM,32-MU-HM,34-MU-HM (x3 Con),35-MU-HM,36-MU-HM,37-MU-HM,38-MU-HM (x3 Con),39-MU-HM,40-MU-HM,20-MU-PM,21-MU-PM,22-MU-PM,23-MU-PM,24-MU-PM,25-MU-PM,26-MU-PM,27-MU-PM,28-MU-PM,30-MU-PM,41-MU-HPS (x3 Con),42-MU-HPS (x3 Con),43-MU-HPS (x3 Con),44-MU-HPS,46-MU-HPS,47-MU-HPS,48-MU-HPS (x3 Con),49-MU-HPS (x3 Con),50-MU-HPS,51-MU-PPS (x3 Con),52-MU-PPS (x3 Con),53-MU-PPS (x3 Con),54-MU-PPS (x3 Con),55-MU-PPS,56-MU-PPS (x3 Con),57-MU-PPS,58-MU-PPS (x3 Con),59-MU-PPS,60-MU-PPS (x3 Con),1-SK-LA,3-SK-LA,4-SK-LA,6-SK-LA,8-SK-LA (ran 2015),9-SK-LA,31-SK-HM,32-SK-HM,33-SK-HM,38-SK-HM,39-SK-HM,40-SK-HM,20-SK-PM,22-SK-PM,23-SK-PM,26-SK-PM,21-SK-PM,25-SK-PM,41-SK-HPS,42-SK-HPS,43-SK-HPS,47-SK-HPS,46-SK-HPS,48-SK-HPS,51-SK-PPS,52-SK-PPS,53-SK-PPS,56-SK-PPS,57-SK-PPS,58-SK-PPS
Tissue,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin
Time,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,entry,entry,entry,entry,entry,entry,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn
Creek,both,both,both,both,both,both,both,both,both,both,H,H,H,H,H,H,H,H,H,P,P,P,P,P,P,P,P,P,P,H,H,H,H,H,H,H,H,H,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA,NA,NA,H,H,H,H,H,H,P,P,P,P,P,P,H,H,H,H,H,H,P,P,P,P,P,P
Sex,F,M,M,F,M,F,M,F,F,M,M,M,M,M,F,F,F,F,F,M,F,M,M,M,F,F,F,F,M,F,F,F,F,M,M,M,M,M,M,M,M,M,M,F,F,F,F,F,F,M,M,F,M,F,M,M,M,F,F,F,M,M,M,F,F,F,F,F,F,M,M,M,M,M,M,F,F,F
15.1,0,0,0,0.0488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196,0.0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286,0,0,0,0,0,0,0,0,0,0.0314,0,0.029,0.0182,0,0,0.0237,0.0226,0.0245,0.0219,0,0.0181
16.1n7,0,0,0.0212,0,0,0.0279,0.0298,0,0.0407,0.0354,0,0,0,0,0,0,0,0.0186,0,0.0281,0.0218,0.0291,0.0277,0.0233,0.0396,0.0313,0.0366,0.0238,0.0348,0,0,0,0.0158,0,0,0,0,0,0,0,0,0,0.0208,0,0.0186,0,0,0,0.0556,0.0539,0.049,0.0673,0.0464,0.0538,0.0282,0.0186,0,0.024,0,0.0176,0.0226,0.0216,0.0265,0.0207,0.0327,0.0323,0,0,0,0.0244,0,0.0205,0,0,0,0.0223,0.0332,0.0268
17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1n11,0,0,0,0,0,0,0,0,0,0,0.0194,0.017,0,0.0183,0.0232,0.0191,0,0.0252,0.0316,0.0176,0,0,0,0.0164,0.0286,0.0192,0.0237,0.0193,0,0,0,0,0.0209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162,0,0,0,0.0223,0.0163,0.0239,0,0,0,0,0.0168,0.0242,0,0,0,0,0,0,0,0,0,0,0,0
18.1n9,0.1097,0.1131,0.1344,0.0996,0.1048,0.1534,0.1206,0.118,0.183,0.2177,0.1114,0.0925,0.108,0.1446,0.1391,0.132,0.1395,0.1602,0.1583,0.1335,0.1642,0.1199,0.1276,0.1333,0.1523,0.151,0.1651,0.1294,0.178,0.0468,0.0653,0.0501,0.1095,0.0706,0.091,0.0725,0.0731,0.0868,0.0557,0.0651,0.0504,0.067,0.113,0.0578,0.1257,0.0587,0.0562,0.0518,0.1928,0.194,0.2005,0.2284,0.1836,0.1927,0.1637,0.145,0.2017,0.1866,0.1223,0.1392,0.1735,0.1493,0.1769,0.1809,0.1881,0.1502,0.155,0.2051,0.1954,0.2222,0.1157,0.1508,0.1571,0.169,0.1913,0.1777,0.2085,0.2159
18.1n7,0.0326,0.0331,0.0347,0,0.0347,0.0329,0.0335,0.0305,0.0488,0.0444,0.0289,0.0253,0.0283,0.0374,0.033,0.0381,0.0396,0.045,0.0336,0.0321,0.0488,0.0374,0.0335,0.035,0.0391,0.0446,0.0475,0.0373,0.0386,0.0206,0.0272,0.0198,0.0302,0.0236,0.0335,0.0279,0.0283,0.0274,0.027,0.0211,0.0232,0.025,0.0321,0.0244,0.0312,0.0225,0.0199,0.0219,0.0368,0.0334,0.0413,0.0393,0.0343,0.0359,0.0286,0.0253,0,0.0309,0.0257,0.0222,0.0263,0.024,0.0301,0.042,0.0382,0.026,0,0.0447,0.0343,0.0447,0.0204,0.0297,0.0315,0.0307,0.0379,0.0359,0.0415,0.0439
18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.1n11,0.0823,0.0829,0.1415,0.1161,0.0872,0.175,0.1203,0.133,0.0821,0.1083,0.1738,0.1847,0.1893,0.1873,0.1595,0.1116,0.0757,0.1529,0.1919,0.1422,0.0813,0.0914,0.1188,0.1497,0.1059,0.0994,0.0914,0.0948,0.139,0,0.0519,0.0518,0.1142,0.0917,0.0329,0.0872,0.0808,0.1389,0.0341,0.1163,0.0357,0.0323,0.1039,0.0634,0.1294,0.0632,0.0725,0.0653,0.1631,0.1757,0.1514,0.1377,0.1576,0.1508,0.1493,0.1346,0.0457,0.1336,0.2335,0.2342,0.0641,0.1083,0.0961,0.0408,0.106,0.1763,0,0,0.0535,0.0323,0.1312,0.0493,0,0,0,0,0.0971,0.0333
20.1n9,0.0366,0.0377,0.0616,0.0615,0.032,0.0775,0.055,0.0588,0.0413,0.0514,0.0631,0.0667,0.073,0.0769,0.0638,0.0479,0.0344,0.0603,0.0565,0.0583,0.0417,0.0379,0.0497,0.0586,0.0388,0.0411,0.0365,0.0364,0.0505,0,0.0207,0.0175,0.0397,0.0345,0.0172,0.0327,0.0347,0.0445,0.0164,0.0357,0.0166,0,0.0364,0.0209,0.0473,0.0237,0.0235,0.0206,0.0657,0.0704,0.0649,0.0554,0.0547,0.0606,0.057,0.0488,0,0.0481,0.0865,0.0683,0.029,0.0376,0.0366,0.0215,0.0441,0.0588,0,0,0,0,0.0444,0.021,0,0,0,0,0.0412,0
24.1nx,0,0,0,0,0,0,0,0,0,0,0.0173,0.017,0.022,0.0168,0.0165,0,0,0.0154,0.0171,0,0,0,0,0.0161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
